User Account, User Policy, Bucket Policy, Object Owner Account, Object ACL, Caller owns bucket, Caller owns object, bucket owner owns object, Has Access
1st Acct,allow,allow-calling-accounts,2nd Acct,private,Yes,No,No,Yes,AccessDenied
1st Acct,allow,allow-calling-accounts,2nd Acct,public-read,Yes,No,No,Yes,Success
1st Acct,allow,allow-calling-accounts,2nd Acct,authenticated-read,Yes,No,No,Yes,Success
1st Acct,allow,allow-calling-accounts,2nd Acct,bucket-owner-read,Yes,No,No,Yes,Success
1st Acct,allow,none,1st Acct,private,Yes,Yes,Yes,Yes,Success
1st Acct,allow,none,1st Acct,public-read,Yes,Yes,Yes,Yes,Success
1st Acct,allow,none,1st Acct,authenticated-read,Yes,Yes,Yes,Yes,Success
1st Acct,allow,none,1st Acct,bucket-owner-read,Yes,Yes,Yes,Yes,Success
1st Acct,allow,none,2nd Acct,private,Yes,No,No,Yes,AccessDenied
1st Acct,allow,none,2nd Acct,public-read,Yes,No,No,Yes,Success
1st Acct,allow,none,2nd Acct,authenticated-read,Yes,No,No,Yes,Success
1st Acct,allow,none,2nd Acct,bucket-owner-read,Yes,No,No,Yes,Success
1st Acct,allow,allow-any,1st Acct,private,Yes,Yes,Yes,Yes,Success
1st Acct,allow,allow-any,1st Acct,public-read,Yes,Yes,Yes,Yes,Success
1st Acct,allow,allow-any,1st Acct,authenticated-read,Yes,Yes,Yes,Yes,Success
1st Acct,allow,allow-any,1st Acct,bucket-owner-read,Yes,Yes,Yes,Yes,Success
1st Acct,allow,allow-any,2nd Acct,private,Yes,No,No,Yes,AccessDenied
1st Acct,allow,allow-any,2nd Acct,public-read,Yes,No,No,Yes,Success
1st Acct,allow,allow-any,2nd Acct,authenticated-read,Yes,No,No,Yes,Success
1st Acct,allow,allow-any,2nd Acct,bucket-owner-read,Yes,No,No,Yes,Success
1st Acct,allow,deny,1st Acct,private,Yes,Yes,Yes,Yes,AccessDenied
1st Acct,allow,deny,1st Acct,public-read,Yes,Yes,Yes,Yes,AccessDenied
1st Acct,allow,deny,1st Acct,authenticated-read,Yes,Yes,Yes,Yes,AccessDenied
1st Acct,allow,deny,1st Acct,bucket-owner-read,Yes,Yes,Yes,Yes,AccessDenied
1st Acct,allow,deny,2nd Acct,private,Yes,No,No,Yes,AccessDenied
1st Acct,allow,deny,2nd Acct,public-read,Yes,No,No,Yes,AccessDenied
1st Acct,allow,deny,2nd Acct,authenticated-read,Yes,No,No,Yes,AccessDenied
1st Acct,allow,deny,2nd Acct,bucket-owner-read,Yes,No,No,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,2nd Acct,public-read,No,Yes,No,Yes,Success
2nd Acct,none,allow-calling-accounts,2nd Acct,authenticated-read,No,Yes,No,Yes,Success
2nd Acct,none,allow-calling-accounts,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,none,allow-calling-accounts,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,none,none,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,none,none,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,none,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,none,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,none,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,none,none,2nd Acct,public-read,No,Yes,No,Yes,Success
2nd Acct,none,none,2nd Acct,authenticated-read,No,Yes,No,Yes,Success
2nd Acct,none,none,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,none,none,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,none,none,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,none,none,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,none,none,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,none,allow-any,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-any,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-any,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-any,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,allow-any,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,none,allow-any,2nd Acct,public-read,No,Yes,No,Yes,Success
2nd Acct,none,allow-any,2nd Acct,authenticated-read,No,Yes,No,Yes,Success
2nd Acct,none,allow-any,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,none,allow-any,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,none,allow-any,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,none,allow-any,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,none,allow-any,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,none,deny,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,none,deny,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,deny,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,deny,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,none,deny,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,none,deny,2nd Acct,public-read,No,Yes,No,Yes,AccessDenied
2nd Acct,none,deny,2nd Acct,authenticated-read,No,Yes,No,Yes,AccessDenied
2nd Acct,none,deny,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,none,deny,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,none,deny,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,none,deny,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,none,deny,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,2nd Acct,public-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,2nd Acct,authenticated-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-calling-accounts,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,none,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,none,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,none,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,none,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,none,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,none,2nd Acct,public-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,none,2nd Acct,authenticated-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,none,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,none,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,deny,none,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,none,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,none,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-any,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-any,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-any,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-any,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,allow-any,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-any,2nd Acct,public-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-any,2nd Acct,authenticated-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-any,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,allow-any,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-any,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-any,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,allow-any,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,deny,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,deny,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,deny,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,deny,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,deny,deny,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,deny,2nd Acct,public-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,deny,2nd Acct,authenticated-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,deny,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,deny,deny,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,deny,deny,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,deny,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,deny,deny,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,allow,allow-calling-accounts,1st Acct,private,No,No,Yes,Yes,Success
2nd Acct,allow,allow-calling-accounts,1st Acct,public-read,No,No,Yes,Yes,Success
2nd Acct,allow,allow-calling-accounts,1st Acct,authenticated-read,No,No,Yes,Yes,Success
2nd Acct,allow,allow-calling-accounts,1st Acct,bucket-owner-read,No,No,Yes,Yes,Success
2nd Acct,allow,allow-calling-accounts,2nd Acct,private,No,Yes,No,Yes,Success
2nd Acct,allow,allow-calling-accounts,2nd Acct,public-read,No,Yes,No,Yes,Success
2nd Acct,allow,allow-calling-accounts,2nd Acct,authenticated-read,No,Yes,No,Yes,Success
2nd Acct,allow,allow-calling-accounts,2nd Acct,bucket-owner-read,No,Yes,No,Yes,Success
2nd Acct,allow,allow-calling-accounts,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,allow,allow-calling-accounts,3rd Acct,public-read,No,No,No,Yes,Success
2nd Acct,allow,allow-calling-accounts,3rd Acct,authenticated-read,No,No,No,Yes,Success
2nd Acct,allow,allow-calling-accounts,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,allow,none,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,allow,none,1st Acct,public-read,No,No,Yes,Yes,Success
2nd Acct,allow,none,1st Acct,authenticated-read,No,No,Yes,Yes,Success
2nd Acct,allow,none,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,allow,none,2nd Acct,private,No,Yes,No,Yes,Success
2nd Acct,allow,none,2nd Acct,public-read,No,Yes,No,Yes,Success
2nd Acct,allow,none,2nd Acct,authenticated-read,No,Yes,No,Yes,Success
2nd Acct,allow,none,2nd Acct,bucket-owner-read,No,Yes,No,Yes,Success
2nd Acct,allow,none,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,allow,none,3rd Acct,public-read,No,No,No,Yes,Success
2nd Acct,allow,none,3rd Acct,authenticated-read,No,No,No,Yes,Success
2nd Acct,allow,none,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,allow,allow-any,1st Acct,private,No,No,Yes,Yes,Success
2nd Acct,allow,allow-any,1st Acct,public-read,No,No,Yes,Yes,Success
2nd Acct,allow,allow-any,1st Acct,authenticated-read,No,No,Yes,Yes,Success
2nd Acct,allow,allow-any,1st Acct,bucket-owner-read,No,No,Yes,Yes,Success
2nd Acct,allow,allow-any,2nd Acct,private,No,Yes,No,Yes,Success
2nd Acct,allow,allow-any,2nd Acct,public-read,No,Yes,No,Yes,Success
2nd Acct,allow,allow-any,2nd Acct,authenticated-read,No,Yes,No,Yes,Success
2nd Acct,allow,allow-any,2nd Acct,bucket-owner-read,No,Yes,No,Yes,Success
2nd Acct,allow,allow-any,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,allow,allow-any,3rd Acct,public-read,No,No,No,Yes,Success
2nd Acct,allow,allow-any,3rd Acct,authenticated-read,No,No,No,Yes,Success
2nd Acct,allow,allow-any,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
2nd Acct,allow,deny,1st Acct,private,No,No,Yes,Yes,AccessDenied
2nd Acct,allow,deny,1st Acct,public-read,No,No,Yes,Yes,AccessDenied
2nd Acct,allow,deny,1st Acct,authenticated-read,No,No,Yes,Yes,AccessDenied
2nd Acct,allow,deny,1st Acct,bucket-owner-read,No,No,Yes,Yes,AccessDenied
2nd Acct,allow,deny,2nd Acct,private,No,Yes,No,Yes,AccessDenied
2nd Acct,allow,deny,2nd Acct,public-read,No,Yes,No,Yes,AccessDenied
2nd Acct,allow,deny,2nd Acct,authenticated-read,No,Yes,No,Yes,AccessDenied
2nd Acct,allow,deny,2nd Acct,bucket-owner-read,No,Yes,No,Yes,AccessDenied
2nd Acct,allow,deny,3rd Acct,private,No,No,No,Yes,AccessDenied
2nd Acct,allow,deny,3rd Acct,public-read,No,No,No,Yes,AccessDenied
2nd Acct,allow,deny,3rd Acct,authenticated-read,No,No,No,Yes,AccessDenied
2nd Acct,allow,deny,3rd Acct,bucket-owner-read,No,No,No,Yes,AccessDenied
Unauth User,none,allow-calling-accounts,1st Acct,private,No,No,Yes,No,AccessDenied
Unauth User,none,allow-calling-accounts,1st Acct,public-read,No,No,Yes,No,Success
Unauth User,none,allow-calling-accounts,1st Acct,authenticated-read,No,No,Yes,No,AccessDenied
Unauth User,none,allow-calling-accounts,1st Acct,bucket-owner-read,No,No,Yes,No,AccessDenied
Unauth User,none,allow-calling-accounts,2nd Acct,private,No,No,No,No,AccessDenied
Unauth User,none,allow-calling-accounts,2nd Acct,public-read,No,No,No,No,Success
Unauth User,none,allow-calling-accounts,2nd Acct,authenticated-read,No,No,No,No,AccessDenied
Unauth User,none,allow-calling-accounts,2nd Acct,bucket-owner-read,No,No,No,No,AccessDenied
Unauth User,none,none,1st Acct,private,No,No,Yes,No,AccessDenied
Unauth User,none,none,1st Acct,public-read,No,No,Yes,No,Success
Unauth User,none,none,1st Acct,authenticated-read,No,No,Yes,No,AccessDenied
Unauth User,none,none,1st Acct,bucket-owner-read,No,No,Yes,No,AccessDenied
Unauth User,none,none,2nd Acct,private,No,No,No,No,AccessDenied
Unauth User,none,none,2nd Acct,public-read,No,No,No,No,Success
Unauth User,none,none,2nd Acct,authenticated-read,No,No,No,No,AccessDenied
Unauth User,none,none,2nd Acct,bucket-owner-read,No,No,No,No,AccessDenied
Unauth User,none,allow-any,1st Acct,private,No,No,Yes,No,Success
Unauth User,none,allow-any,1st Acct,public-read,No,No,Yes,No,Success
Unauth User,none,allow-any,1st Acct,authenticated-read,No,No,Yes,No,Success
Unauth User,none,allow-any,1st Acct,bucket-owner-read,No,No,Yes,No,Success
Unauth User,none,allow-any,2nd Acct,private,No,No,No,No,AccessDenied
Unauth User,none,allow-any,2nd Acct,public-read,No,No,No,No,Success
Unauth User,none,allow-any,2nd Acct,authenticated-read,No,No,No,No,AccessDenied
Unauth User,none,allow-any,2nd Acct,bucket-owner-read,No,No,No,No,AccessDenied
Unauth User,none,deny,1st Acct,private,No,No,Yes,No,AccessDenied
Unauth User,none,deny,1st Acct,public-read,No,No,Yes,No,AccessDenied
Unauth User,none,deny,1st Acct,authenticated-read,No,No,Yes,No,AccessDenied
Unauth User,none,deny,1st Acct,bucket-owner-read,No,No,Yes,No,AccessDenied
Unauth User,none,deny,2nd Acct,private,No,No,No,No,AccessDenied
Unauth User,none,deny,2nd Acct,public-read,No,No,No,No,AccessDenied
Unauth User,none,deny,2nd Acct,authenticated-read,No,No,No,No,AccessDenied
Unauth User,none,deny,2nd Acct,bucket-owner-read,No,No,No,No,AccessDenied
